,Hit@1 (0.8),Hit@2 (0.8),Hit@5 (0.8),Hit@10 (0.8),Hit@15 (0.8),Hit@20 (0.8),Hit@1 (0.9),Hit@2 (0.9),Hit@5 (0.9),Hit@10 (0.9),Hit@15 (0.9),Hit@20 (0.9),NDCG@1,NDCG@2,NDCG@5,NDCG@10,NDCG@15,NDCG@20
sf_bi_encoder_dataset_metadata,0.8513513513513513,0.8851351351351351,0.9054054054054054,0.9121621621621622,0.9256756756756757,0.9324324324324325,0.7972972972972973,0.8648648648648649,0.8918918918918919,0.8986486486486487,0.9054054054054054,0.9054054054054054,0.8752937448647002,0.8767796006638622,0.8692918560227569,0.8696767022395424,0.8707678599243759,0.8758795865448887
sf_bi_encoder_models_metadata,0.6351351351351351,0.8175675675675675,0.9527027027027027,0.9662162162162162,0.9662162162162162,0.9662162162162162,0.6216216216216216,0.7567567567567568,0.9324324324324325,0.9594594594594594,0.9662162162162162,0.9662162162162162,0.8255312075829354,0.807254023772745,0.8248432474159082,0.8537202078974773,0.8665870200803051,0.875135559243457
multi_field_bi_encoder,0.7905405405405406,0.8851351351351351,0.8986486486486487,0.9121621621621622,0.9256756756756757,0.9324324324324325,0.7635135135135135,0.8378378378378378,0.8783783783783784,0.8986486486486487,0.9121621621621622,0.9121621621621622,0.8229067773090881,0.8337813630890608,0.8398422361586972,0.8490434509922639,0.8562058481813983,0.8589946093285871
p_norm,0.6891891891891891,0.8243243243243243,0.8851351351351351,0.8918918918918919,0.918918918918919,0.918918918918919,0.6621621621621622,0.8040540540540541,0.8716216216216216,0.8851351351351351,0.9054054054054054,0.9054054054054054,0.6939210620368197,0.6873924347870592,0.7015941040294035,0.7266865281342638,0.7428396236968682,0.7554773216164502
scaled_p_norm,0.831081081081081,0.8851351351351351,0.9324324324324325,0.9527027027027027,0.9594594594594594,0.9594594594594594,0.7905405405405406,0.8445945945945946,0.9121621621621622,0.9391891891891891,0.9459459459459459,0.9459459459459459,0.8561295446533886,0.8418038710834199,0.8358450618202565,0.8415688977405341,0.8448181701152235,0.853196217319639
ged,0.5743243243243243,0.8243243243243243,0.9054054054054054,0.918918918918919,0.9256756756756757,0.9256756756756757,0.4527027027027027,0.7432432432432432,0.8513513513513513,0.8783783783783784,0.8851351351351351,0.8851351351351351,0.5683656114097609,0.6308411487149626,0.6846675044102961,0.7230034011970581,0.7491762344155514,0.7669109276963543
data_emb_d10_w10_exekg_cosine,0.75,0.8648648648648649,0.9324324324324325,0.9459459459459459,0.9527027027027027,0.9527027027027027,0.7027027027027027,0.8243243243243243,0.918918918918919,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.7690327191999631,0.7862569173794237,0.7973972356463768,0.807263161116783,0.817075276177025,0.8196462613490497
data_emb_d10_w10_exekg_euclidian,0.7567567567567568,0.8783783783783784,0.9459459459459459,0.9527027027027027,0.9527027027027027,0.9527027027027027,0.7162162162162162,0.8581081081081081,0.9391891891891891,0.9527027027027027,0.9527027027027027,0.9527027027027027,0.776893324102128,0.7987363901831621,0.821752718006061,0.8268958055147568,0.8334104985026264,0.8402114967521213
data_emb_d10_w10_exekg_manhattan,0.777027027027027,0.8716216216216216,0.9459459459459459,0.9459459459459459,0.9527027027027027,0.9527027027027027,0.7364864864864865,0.8581081081081081,0.9391891891891891,0.9459459459459459,0.9527027027027027,0.9527027027027027,0.7965421838525123,0.8051026426593706,0.8224090608081218,0.8282350708539921,0.8347290188501819,0.8418945231280687
data_emb_d10_w10_exekg_dot_prod,0.8648648648648649,0.8648648648648649,0.9054054054054054,0.9121621621621622,0.9459459459459459,0.9527027027027027,0.777027027027027,0.7837837837837838,0.8851351351351351,0.9054054054054054,0.9391891891891891,0.9459459459459459,0.8801484240477504,0.8769252701039557,0.8418435120488453,0.8381140618098571,0.77807674819182,0.7651587761813254
