model,k,probability
data_emb_d10_w10_exekg_cosine,1,0.1791044776119403
data_emb_d10_w10_exekg_cosine,2,0.29850746268656714
data_emb_d10_w10_exekg_cosine,5,0.44776119402985076
data_emb_d10_w10_exekg_euclidian,1,0.17164179104477612
data_emb_d10_w10_exekg_euclidian,2,0.34328358208955223
data_emb_d10_w10_exekg_euclidian,5,0.4552238805970149
data_emb_d10_w10_exekg_manhattan,1,0.17164179104477612
data_emb_d10_w10_exekg_manhattan,2,0.3208955223880597
data_emb_d10_w10_exekg_manhattan,5,0.41044776119402987
data_emb_d10_w10_exekg_dot_prod,1,0.582089552238806
data_emb_d10_w10_exekg_dot_prod,2,0.664179104477612
data_emb_d10_w10_exekg_dot_prod,5,0.7388059701492538
pip_emb_d10_w10_exekg_cosine,1,0.31343283582089554
pip_emb_d10_w10_exekg_cosine,2,0.3880597014925373
pip_emb_d10_w10_exekg_cosine,5,0.5373134328358209
pip_emb_d10_w10_exekg_euclidian,1,0.2462686567164179
pip_emb_d10_w10_exekg_euclidian,2,0.3656716417910448
pip_emb_d10_w10_exekg_euclidian,5,0.5447761194029851
pip_emb_d10_w10_exekg_manhattan,1,0.27611940298507465
pip_emb_d10_w10_exekg_manhattan,2,0.373134328358209
pip_emb_d10_w10_exekg_manhattan,5,0.5522388059701493
pip_emb_d10_w10_exekg_dot_prod,1,0.014925373134328358
pip_emb_d10_w10_exekg_dot_prod,2,0.022388059701492536
pip_emb_d10_w10_exekg_dot_prod,5,0.34328358208955223
comb_emb_d10_w10_exekg_cosine,1,0.17164179104477612
comb_emb_d10_w10_exekg_cosine,2,0.31343283582089554
comb_emb_d10_w10_exekg_cosine,5,0.4552238805970149
comb_emb_d10_w10_exekg_euclidian,1,0.1791044776119403
comb_emb_d10_w10_exekg_euclidian,2,0.3208955223880597
comb_emb_d10_w10_exekg_euclidian,5,0.43283582089552236
comb_emb_d10_w10_exekg_manhattan,1,0.20149253731343283
comb_emb_d10_w10_exekg_manhattan,2,0.3358208955223881
comb_emb_d10_w10_exekg_manhattan,5,0.43283582089552236
comb_emb_d10_w10_exekg_dot_prod,1,0.582089552238806
comb_emb_d10_w10_exekg_dot_prod,2,0.664179104477612
comb_emb_d10_w10_exekg_dot_prod,5,0.7388059701492538
data_emb_d10_w10_exekg_mlsea_cosine,1,0.15671641791044777
data_emb_d10_w10_exekg_mlsea_cosine,2,0.2835820895522388
data_emb_d10_w10_exekg_mlsea_cosine,5,0.4552238805970149
data_emb_d10_w10_exekg_mlsea_euclidian,1,0.17164179104477612
data_emb_d10_w10_exekg_mlsea_euclidian,2,0.31343283582089554
data_emb_d10_w10_exekg_mlsea_euclidian,5,0.44776119402985076
data_emb_d10_w10_exekg_mlsea_manhattan,1,0.20149253731343283
data_emb_d10_w10_exekg_mlsea_manhattan,2,0.31343283582089554
data_emb_d10_w10_exekg_mlsea_manhattan,5,0.43283582089552236
data_emb_d10_w10_exekg_mlsea_dot_prod,1,0.582089552238806
data_emb_d10_w10_exekg_mlsea_dot_prod,2,0.664179104477612
data_emb_d10_w10_exekg_mlsea_dot_prod,5,0.7164179104477612
pip_emb_d10_w10_exekg_mlsea_cosine,1,0.26865671641791045
